"CO","CI","SV","SVI","SVV","PRV","PR","SYS","DIA","MAP","SI","time","SVR","SVRI","volume","drug_dose"
3.5,2.4,31,21,11,0,112,53,35,42,2.11320754716981,40,868.571428571429,1266.66666666667,20,0.121599027207782
2.5,1.7,21,15,29,0,117,50,38,43,2.34,60,1248,1835.29411764706,20,0.121599027207782
2.9,2,24,16,10,0,121,53,40,45,2.28301886792453,80,1131.03448275862,1640,20,0.121599027207782
2.9,2,24,16,9,0,120,53,40,45,2.26415094339623,100,1131.03448275862,1640,20,0.121599027207782
2.8,1.9,24,16,8,0,119,54,40,46,2.2037037037037,120,1200,1768.42105263158,20,0.121599027207782
3,2,25,17,7,0,121,56,41,47,2.16071428571429,140,1146.66666666667,1720,20,0.121599027207782
3.2,2.2,26,18,9,0,120,56,40,46,2.14285714285714,160,1050,1527.27272727273,20,0.121599027207782
3,2,24,17,6,0,121,54,40,45,2.24074074074074,180,1093.33333333333,1640,20,0.121599027207782
2.9,2,24,16,9,0,121,53,39,45,2.28301886792453,200,1131.03448275862,1640,20,0.121599027207782
2.9,2,24,17,7,0,119,53,39,45,2.24528301886792,220,1131.03448275862,1640,20,0.121599027207782
2.9,2,25,17,7,0,116,55,40,46,2.10909090909091,240,1158.62068965517,1680,20,0.121599027207782
3,2.1,25,17,5,0,120,58,42,48,2.06896551724138,260,1173.33333333333,1676.19047619048,20,0.121599027207782
3.1,2.1,26,17,7,0,119,56,41,47,2.125,280,1109.67741935484,1638.09523809524,20,0.121599027207782
3.2,2.2,26,18,5,0,122,56,40,47,2.17857142857143,300,1075,1563.63636363636,20,0.121599027207782
3.1,2.1,26,17,7,0,121,55,40,46,2.2,320,1083.87096774194,1600,20,0.121599027207782
3.2,2.2,26,18,7,0,122,55,40,46,2.21818181818182,340,1050,1527.27272727273,20,0.121599027207782
3.2,2.2,26,18,8,0,122,55,39,46,2.21818181818182,360,1050,1527.27272727273,20,0.121599027207782
3,2,25,17,7,0,120,54,39,45,2.22222222222222,380,1093.33333333333,1640,20,0.121599027207782
2.9,2,24,16,7,0,120,52,38,44,2.30769230769231,400,1103.44827586207,1600,20,0.121599027207782
3.1,2.1,26,18,8,0,118,53,38,44,2.22641509433962,420,1032.25806451613,1523.80952380952,20,0.121599027207782
3.4,2.3,28,19,9,0,121,55,38,45,2.2,440,964.705882352941,1426.08695652174,20,0.121599027207782
3.7,2.6,31,21,5,0,120,59,39,47,2.03389830508475,460,929.72972972973,1323.07692307692,20,0.121599027207782
3.1,2.1,25,17,8,0,122,58,42,48,2.10344827586207,480,1135.48387096774,1676.19047619048,20,0.121599027207782
3,2,24,17,7,0,122,55,40,46,2.21818181818182,500,1120,1680,20,0.121599027207782
2.9,2,24,16,9,0,122,53,39,45,2.30188679245283,520,1131.03448275862,1640,20,0.121599027207782
2.5,1.7,20,14,9,0,122,54,42,46,2.25925925925926,540,1344,1976.47058823529,20,0.121599027207782
3.5,2.4,29,20,12,0,122,56,39,46,2.17857142857143,580,960,1400,20,0.121599027207782
3.5,2.4,29,20,12,0,122,56,39,46,2.17857142857143,600,960,1400,20,0.121599027207782
3.8,2.6,31,21,24,0,120,74,48,56,1.62162162162162,780,1094.73684210526,1600,20,0.121599027207782
3.9,2.7,32,22,9,0,124,78,51,61,1.58974358974359,800,1169.23076923077,1688.88888888889,20,0.121599027207782
3.2,2.2,28,19,16,0,114,52,35,40,2.19230769230769,960,900,1309.09090909091,20,0.121599027207782
2.7,1.9,23,16,16,0,119,58,43,48,2.05172413793103,980,1303.7037037037,1852.63157894737,20,0.121599027207782
3.6,2.5,29,20,9,0,122,61,42,49,2,1000,1000,1440,20,0.121599027207782
3.5,2.4,28,19,10,0,123,61,42,50,2.01639344262295,1020,1051.42857142857,1533.33333333333,20,0.121599027207782
3.5,2.4,29,20,6,0,120,63,43,51,1.9047619047619,1040,1074.28571428571,1566.66666666667,20,0.121599027207782
3.9,2.6,31,21,9,0,123,70,49,57,1.75714285714286,1060,1087.17948717949,1630.76923076923,20,0.121599027207782
3.9,2.7,32,22,8,0,123,68,45,54,1.80882352941176,1080,1025.64102564103,1481.48148148148,20,0.121599027207782
3.5,2.4,28,19,5,0,123,67,46,54,1.83582089552239,1100,1142.85714285714,1666.66666666667,20,0.121599027207782
3.6,2.5,30,20,6,0,123,68,45,54,1.80882352941176,1120,1111.11111111111,1600,20,0.121599027207782
3.7,2.5,30,20,8,0,123,68,46,55,1.80882352941176,1140,1102.7027027027,1632,20,0.121599027207782
3.4,2.3,27,19,8,0,123,65,45,54,1.89230769230769,1160,1176.47058823529,1739.13043478261,20,0.121599027207782
2.6,1.8,21,14,8,0,123,64,47,53,1.921875,1180,1507.69230769231,2177.77777777778,20,0.121599027207782
3.6,2.5,30,20,8,0,123,69,48,56,1.78260869565217,1200,1155.55555555556,1664,20,0.121599027207782
3.9,2.7,32,22,9,0,123,70,46,55,1.75714285714286,1220,1046.15384615385,1511.11111111111,20,0.121599027207782
3.8,2.6,32,22,8,0,121,71,47,56,1.70422535211268,1240,1094.73684210526,1600,20,0.121599027207782
3.4,2.3,29,20,9,0,117,71,49,57,1.64788732394366,1260,1247.05882352941,1843.47826086957,20,0.121599027207782
3.5,2.4,29,20,10,0,123,72,50,58,1.70833333333333,1280,1234.28571428571,1800,20,0.121599027207782
3.7,2.5,29,20,6,0,124,73,50,59,1.6986301369863,1300,1189.18918918919,1760,20,0.121599027207782
3.5,2.4,28,19,9,0,124,72,50,58,1.72222222222222,1320,1234.28571428571,1800,20,0.121599027207782
3.6,2.4,29,20,9,0,123,71,49,57,1.73239436619718,1340,1177.77777777778,1766.66666666667,20,0.121599027207782
3.4,2.3,28,19,5,0,123,72,50,58,1.70833333333333,1360,1270.58823529412,1878.26086956522,20,0.121599027207782
3.5,2.4,28,19,8,0,123,71,49,58,1.73239436619718,1380,1234.28571428571,1800,20,0.121599027207782
3.7,2.5,30,21,9,0,123,74,50,59,1.66216216216216,1400,1189.18918918919,1760,20,0.121599027207782
3.8,2.6,31,21,8,0,123,74,50,59,1.66216216216216,1420,1157.89473684211,1692.30769230769,20,0.121599027207782
3.2,2.2,26,18,8,0,123,72,51,59,1.70833333333333,1440,1375,2000,20,0.121599027207782
3,2,24,16,9,0,123,68,49,57,1.80882352941176,1460,1413.33333333333,2120,20,0.121599027207782
2.9,2,24,16,6,0,123,68,50,57,1.80882352941176,1480,1462.06896551724,2120,20,0.121599027207782
3.1,2.1,25,17,6,0,123,73,52,60,1.68493150684932,1500,1445.16129032258,2133.33333333333,20,0.121599027207782
3.8,2.6,31,21,7,0,124,74,48,58,1.67567567567568,1520,1136.84210526316,1661.53846153846,20,0.121599027207782
3.3,2.3,27,19,7,0,122,73,49,58,1.67123287671233,1540,1309.09090909091,1878.26086956522,20,0.121599027207782
4.2,2.9,34,23,9,0,123,70,46,55,1.75714285714286,1560,971.428571428571,1406.89655172414,20,0.121599027207782
4.3,3,35,24,9,0,123,70,44,54,1.75714285714286,1580,930.232558139535,1333.33333333333,20,0.121599027207782
4.3,3,36,24,8,0,121,67,42,52,1.80597014925373,1600,893.023255813953,1280,20,0.121599027207782
4.2,2.9,34,23,10,0,123,70,45,55,1.75714285714286,1620,971.428571428571,1406.89655172414,20,0.121599027207782
4.5,3.1,37,25,11,0,124,68,42,53,1.82352941176471,1640,871.111111111111,1264.51612903226,20,0.121599027207782
4.4,3,36,24,11,0,124,68,43,53,1.82352941176471,1660,890.909090909091,1306.66666666667,20,0.121599027207782
4.2,2.9,34,23,10,0,122,66,42,51,1.84848484848485,1680,895.238095238095,1296.55172413793,20,0.121599027207782
4.3,2.9,35,24,8,0,123,65,41,50,1.89230769230769,1700,855.813953488372,1268.96551724138,20,0.121599027207782
3.8,2.6,31,21,11,0,122,68,45,54,1.79411764705882,1720,1052.63157894737,1538.46153846154,20,0.121599027207782
2.9,2,24,16,11,0,124,65,48,54,1.90769230769231,1740,1379.31034482759,2000,20,0.121599027207782
3,2,24,16,6,0,124,63,46,53,1.96825396825397,1760,1306.66666666667,1960,20,0.121599027207782
3,2,24,16,8,0,124,65,48,54,1.90769230769231,1780,1333.33333333333,2000,20,0.121599027207782
2.6,1.8,21,14,12,0,125,65,48,54,1.92307692307692,1800,1538.46153846154,2222.22222222222,20,0.121599027207782
2.8,1.9,23,15,4,0,122,65,47,54,1.87692307692308,1820,1428.57142857143,2105.26315789474,20,0.121599027207782
3.1,2.1,25,17,10,0,125,69,50,57,1.81159420289855,1840,1367.74193548387,2019.04761904762,20,0.121599027207782
3,2.1,24,16,10,0,125,70,50,57,1.78571428571429,1860,1413.33333333333,2019.04761904762,20,0.121599027207782
2.8,1.9,23,15,8,0,125,69,51,57,1.81159420289855,1880,1514.28571428571,2231.57894736842,20,0.121599027207782
